STC_RFS_DATE,EQPT_NAME,GOLD_ORDER_NUMBER,IC01_ID,cust_name,OCEANE_Site,OCEANE_Product_Identifier2
"2021-06-08 04:20:00.0",KBJS1008,10-1329240,30075,"Philip Morris International",CN-BJS-EXB,"No Data Found"
"2021-06-23 22:00:00.0",KNEW30002,10-1319163,689068,"Otis Elevator Company",689068_USA_Metairie_001,"No Data Found"
"2021-06-23 22:00:00.0",KSSN30034,10-1326383,689068,"Otis Elevator Company",689068_KOR_Seongnam-si_002,"No Data Found"
"2021-06-23 22:00:00.0",KQBH30070,10-1338770,689068,"Otis Elevator Company",689068_FRA_Saint-Denis_002,"No Data Found"
"2021-06-23 22:00:00.0",KSSN30029,10-1326383,689068,"Otis Elevator Company",689068_KOR_Seongnam-si_002,"No Data Found"
"2021-06-23 22:00:00.0",KQYA30001,10-1338810,689068,"Otis Elevator Company",689068_KOR_Anyang_001,"No Data Found"
"2021-06-23 22:00:00.0",KSSN30033,10-1326383,689068,"Otis Elevator Company",689068_KOR_Seongnam-si_002,"No Data Found"
"2021-06-23 22:00:00.0",KOSN30014,10-1338817,689068,"Otis Elevator Company",689068_KOR_Pyeongtaek_001,"No Data Found"
"2021-06-23 22:00:00.0",KSSN30032,10-1326383,689068,"Otis Elevator Company",689068_KOR_Seongnam-si_002,"No Data Found"
"2021-06-23 22:00:00.0",KSSN30030,10-1326383,689068,"Otis Elevator Company",689068_KOR_Seongnam-si_002,"No Data Found"
"2021-06-27 22:00:00.0",KPFL30062,10-1338840,689068,"Otis Elevator Company",689068_CZE_Prague_001,"No Data Found"
"2021-06-27 22:00:00.0",KPFL30063,10-1338840,689068,"Otis Elevator Company",689068_CZE_Prague_001,"No Data Found"
"2021-06-27 22:00:00.0",KLPI30002,10-1338893,689068,"Otis Elevator Company",689068_SWE_Vasastaden_001,"No Data Found"
"2021-06-27 22:00:00.0",KPFL30061,10-1338840,689068,"Otis Elevator Company",689068_CZE_Prague_001,"No Data Found"
"2021-06-16 10:02:12.0",PDLC30002,10-1215398,686849,"Mars Information Services Inc",686849_CHN_Dalian_002,"No Data Found"
"2021-06-30 10:17:59.0",AFRA30596,10-1281081,670409,"DSM Business Services BV",0246_Frankfurt,"No Data Found"
"2021-07-02 11:45:10.0",KBZM1190,10-1306249,30075,"Philip Morris International",NL-BZM-PMI,"No Data Found"
"09/06/2021 11:09:30",KPGV30084,10-1299199,670409,"DSM Group Business Services",0400_Greenville,"No Data Found"
"09/16/2021 04:00:00",KQEV30029,10-1326538,689068,"Otis Elevator Company",689068_FRA_Gennevilliers_001,"No Data Found"
"09/16/2021 15:46:18",PZQA031,10-1248319,684628,"Takeda Pharmaceuticals Int AG","684628_DEU_Singen (Hohentwiel)","No Data Found"
"09/16/2021 12:27:20",ASHA32929,10-1351572,686849,"Mars Information Services Inc","686849_CHN_Huangpu Qu_004","No Data Found"
"09/28/2021 09:37:29",KPIU30036,10-1303131,670409,"DSM Group Business Services",0753_Piura,"No Data Found"
"09/30/2021 09:03:01",ADXB060,10-1261477,30075,"Philip Morris International",AE-DXB-IFC,"No Data Found"
"09/30/2021 09:03:01",ADXB008,10-1261477,30075,"Philip Morris International",AE-DXB-IFC,"No Data Found"
"09/30/2021 09:03:01",KDXB1009,10-1261477,30075,"Philip Morris International",AE-DXB-IFC,"No Data Found"
"09/30/2021 09:03:01",ADXB081,10-1261477,30075,"Philip Morris International",AE-DXB-IFC,"No Data Found"
"09/30/2021 09:03:01",ADXB063,10-1261477,30075,"Philip Morris International",AE-DXB-IFC,"No Data Found"
"09/30/2021 09:03:01",KDXB1097,10-1261477,30075,"Philip Morris International",AE-DXB-IFC,AE-DXB-IFC
"09/30/2021 09:03:01",ADXB006,10-1261477,30075,"Philip Morris International",AE-DXB-IFC,"No Data Found"
"09/30/2021 12:10:24",PLDZ30006,10-1228565,2346,"3M UK PLC",2346_ZAF_Centurion_001,"No Data Found"
"09/30/2021 09:03:01",ADXB003,10-1261477,30075,"Philip Morris International",AE-DXB-IFC,"No Data Found"
"09/30/2021 09:03:01",ADXB083,10-1261477,30075,"Philip Morris International",AE-DXB-IFC,"No Data Found"
