router_name,GOLD_ORDER_NUMBER,customer_code,cust_name,Execution_date,cut_date,ITReference,devicestatus,timer
PTYO2811,10-1284558,689068,OTIS ELEVATOR COMPANY,2021-07-18 17:15,2021-06-07 00:00,PTYO2811 ,No,11
PABJ453,10-1244821,676185,SANOFI AVENTIS,2021-07-18 17:19,2021-06-08 00:00,null,null,null
POSA657,10-1284556,689068,OTIS ELEVATOR COMPANY,2021-07-18 17:35,2021-06-09 00:00,null,null,null
PFUK276,10-1284770,689068,OTIS ELEVATOR COMPANY,2021-07-18 17:40,2021-06-10 00:00,null,null,null
PFUK273,10-1284777,689068,OTIS ELEVATOR COMPANY,2021-07-18 17:41,2021-06-11 00:00,null,null,null
PFUK278,10-1284774,689068,OTIS ELEVATOR COMPANY,2021-07-18 17:42,2021-06-12 00:00,null,null,null
PTRI019,10-1250744,688200,WORLEY GROUP INC.,2021-07-18 17:50,2021-06-13 00:00,null,null,null
PNEW045,10-1274865,688200,WORLEY GROUP INC.,2021-07-18 18:46,2021-06-14 00:00,null,null,null
PLRT152,10-1283561,684143,INDITEX SA,2021-07-18 18:50,2021-06-15 00:00,null,null,null
PEMT015,10-1250797,688200,WORLEY GROUP INC.,2021-07-18 21:30,2021-06-16 00:00,null,null,null
PBHD047,10-1325553,689614,SIEMENS ENERGY,2021-07-18 21:35,2021-06-17 00:00,null,null,null
PPOR020,10-1274851,688200,WORLEY GROUP INC.,2021-07-18 22:22,2021-06-18 00:00,null,null,null
PBIS009,10-1250547,688200,WORLEY GROUP INC.,2021-07-18 23:24,2021-06-19 00:00,null,null,null
PELS034,10-1304946,680264,AURECON AUSTRALASIA PTY LTD,2021-07-19 01:10,2021-06-20 00:00,null,null,null
PJNB2163,10-1304948,680264,AURECON AUSTRALASIA PTY LTD,2021-07-19 01:11,2021-06-21 00:00,null,null,null
PPRY144,Others,680264,AURECON AUSTRALASIA PTY LTD,2021-12-28 07:31,2021-06-22 00:00,null,null,null
POXG026,10-1299468,684143,INDITEX SA,2021-07-19 01:17,2021-06-23 00:00,null,null,null
PPLZ091,10-1304941,680264,AURECON AUSTRALASIA PTY LTD,2021-07-19 01:18,2021-06-24 00:00,null,null,null
PQNL244,10-1221564,684143,INDITEX SA,2021-07-19 02:27,2021-06-25 00:00,null,null,null
PXFF030,10-1283540,684143,INDITEX SA,2021-07-19 02:38,2021-06-26 00:00,null,null,null
PLCJ5340,10-1284443,684143,INDITEX SA,2021-07-19 04:57,2021-06-27 00:00,null,null,null
PMGM179,10-1250556,688200,WORLEY GROUP INC.,2021-07-19 05:28,2021-06-28 00:00,null,null,null
PBDS097,10-1297540,676185,SANOFI AVENTIS,2021-07-19 05:50,2021-06-29 00:00,null,null,null
PLUX1400,10-1287415,689068,OTIS ELEVATOR COMPANY,2021-07-19 07:08,2021-06-30 00:00,null,null,null
PSNA105,10-1250552,688200,WORLEY GROUP INC.,2021-07-19 10:13,2021-07-01 00:00,null,null,null
PTYO2796,10-1285290,689068,OTIS ELEVATOR COMPANY,2021-07-21 15:51,2021-07-02 00:00,PTYO2796 ,No,11
PSPX002,10-1342337,688200,WORLEY GROUP INC.,2021-07-23 00:00,2021-07-03 00:00,null,null,null
PBAK345,10-1274838,688200,WORLEY GROUP INC.,2021-07-23 15:39,2021-07-04 00:00,null,null,null
PQOM049,10-1284571,689068,OTIS ELEVATOR COMPANY,2021-07-23 15:39,2021-07-05 00:00,null,null,null
PXEA005,10-1336946,688200,WORLEY GROUP INC.,2021-07-25 15:35,2021-07-06 00:00,null,null,null
PLRH114,10-1221646,684143,INDITEX SA,2021-07-30 17:27,2021-07-07 00:00,null,null,null
PSGN697,10-1287621,676185,SANOFI AVENTIS,2021-07-31 16:18,2021-07-08 00:00,PSGN697 ,No,11
PSGN698,10-1287617,676185,SANOFI AVENTIS,2021-08-01 15:43,2021-07-09 00:00,PSGN698 ,No,11
PUIO339,Orders,676185,SANOFI AVENTIS,2021-08-01 15:46,2021-07-10 00:00,PUIO339 ,No,11
PMOW3289,10-1274857,688200,WORLEY GROUP INC.,2021-08-05 16:47,2021-07-11 00:00,PMOW3289 ,No,11
PMHV001,10-1250557,688200,WORLEY GROUP INC.,2021-08-05 17:01,2021-07-12 00:00,null,null,null
PCHS076,10-1250736,688200,WORLEY GROUP INC.,2021-08-05 17:02,2021-07-13 00:00,null,null,null
PQOM048,10-1284576,689068,OTIS ELEVATOR COMPANY,2021-08-05 17:02,2021-07-14 00:00,null,null,null
PTYO2807,10-1285211,689068,OTIS ELEVATOR COMPANY,2021-08-06 16:05,2021-07-15 00:00,PTYO2807 ,No,11
PHIW008,10-1284488,689068,OTIS ELEVATOR COMPANY,2021-08-06 16:05,2021-07-16 00:00,null,null,null
PBTR068,10-1250558,688200,WORLEY GROUP INC.,2021-08-06 16:06,2021-07-17 00:00,null,null,null
PUKY032,10-1295242,689068,OTIS ELEVATOR COMPANY,2021-08-20 15:59,2021-07-18 00:00,PUKY032 ,No,11
PJKT1600,10-1274852,688200,WORLEY GROUP INC.,2021-08-21 15:42,2021-07-19 00:00,PJKT1600 ,No,null
PQNZ005,10-1285522,689068,OTIS ELEVATOR COMPANY,2021-08-22 15:37,2021-07-20 00:00,null,null,null
