id,router_name,GOLD_ORDER_NUMBER,customer_code,cust_name,Execution_date,cut_date,ITReference,devicestatus,timer
1,PTYO2811,10-1284558,689068,OTIS ELEVATOR COMPANY,2021-07-18 17:15,2021-06-07 00:00,PTYO2811 ,No,11
2,PABJ453,10-1244821,676185,SANOFI AVENTIS,2021-07-18 17:19,2021-06-08 00:00,null,null,null
3,POSA657,10-1284556,689068,OTIS ELEVATOR COMPANY,2021-07-18 17:35,2021-06-09 00:00,null,null,null
4,PFUK276,10-1284770,689068,OTIS ELEVATOR COMPANY,2021-07-18 17:40,2021-06-10 00:00,null,null,null
5,PFUK273,10-1284777,689068,OTIS ELEVATOR COMPANY,2021-07-18 17:41,2021-06-11 00:00,null,null,null
6,PFUK278,10-1284774,689068,OTIS ELEVATOR COMPANY,2021-07-18 17:42,2021-06-12 00:00,null,null,null
7,PTRI019,10-1250744,688200,WORLEY GROUP INC.,2021-07-18 17:50,2021-06-13 00:00,null,null,null
8,PNEW045,10-1274865,688200,WORLEY GROUP INC.,2021-07-18 18:46,2021-06-14 00:00,null,null,null
9,PLRT152,10-1283561,684143,INDITEX SA,2021-07-18 18:50,2021-06-15 00:00,null,null,null
10,PEMT015,10-1250797,688200,WORLEY GROUP INC.,2021-07-18 21:30,2021-06-16 00:00,null,null,null
11,PBHD047,10-1325553,689614,SIEMENS ENERGY,2021-07-18 21:35,2021-06-17 00:00,null,null,null
12,PPOR020,10-1274851,688200,WORLEY GROUP INC.,2021-07-18 22:22,2021-06-18 00:00,null,null,null
13,PBIS009,10-1250547,688200,WORLEY GROUP INC.,2021-07-18 23:24,2021-06-19 00:00,null,null,null
14,PELS034,10-1304946,680264,AURECON AUSTRALASIA PTY LTD,2021-07-19 01:10,2021-06-20 00:00,null,null,null
15,PJNB2163,10-1304948,680264,AURECON AUSTRALASIA PTY LTD,2021-07-19 01:11,2021-06-21 00:00,null,null,null
16,PPRY144,Others,680264,AURECON AUSTRALASIA PTY LTD,2021-12-28 07:31,2021-06-22 00:00,null,null,null
